id,id_lin,scenario,date,value
1,15,1,2024-07-01T00:00:00.0,150.0
2,15,2,2024-07-01T00:00:00.0,150.0
3,15,3,2024-07-01T00:00:00.0,150.0
4,15,1,2026-07-01T00:00:00.0,800.0
5,15,2,2026-07-01T00:00:00.0,800.0
6,15,3,2026-07-01T00:00:00.0,800.0
7,1,2,2040-02-09T00:00:00.0,1200.0
8,2,2,2040-02-09T00:00:00.0,700.0
9,3,2,2040-02-09T00:00:00.0,1100.0
10,4,2,2040-02-09T00:00:00.0,745.0
11,5,2,2040-02-09T00:00:00.0,50.0
12,6,2,2040-02-09T00:00:00.0,910.0
13,7,2,2040-02-09T00:00:00.0,4490.0
14,8,2,2040-02-09T00:00:00.0,2540.0
15,9,2,2040-02-09T00:00:00.0,2700.0
16,10,2,2040-02-09T00:00:00.0,1000.0
17,11,2,2040-02-09T00:00:00.0,650.0
18,12,2,2040-02-09T00:00:00.0,650.0
19,13,2,2040-02-09T00:00:00.0,220.0
20,14,2,2040-02-09T00:00:00.0,594.0
